nk	sk
쥴리앙은 지금처럼 콜리키통풍이 조금이라도 더 심할 때는 그것이 세상 어느것보다도 자신에게 더 좋다고 말하였다.	그가 예전의 콜리키 통풍이 조금이라도 있을 때면, 그는 그것이 세상 그 어떤 것보다도 자신에게 더 좋다고 말했다.
그 녀자는 여직껏 한번도 보지 못한 그 사람의 눈이 자기를 바라보고있는것을 보자 몸서리를 쳐서 로우톤쪽으로 머리를 약간 숙였다.	그녀는 아마도 한 번도 본 적이 없는 인간의 눈이 자신을 바라보고 있는 것을 보고 몸서리쳤고, 로스토프 쪽으로 머리를 조금 돌리며 멈추었다.
아이들과 꼭같아요!	아이들과 똑같아!
나도 잘 먹고 배고픈 사람들을 도와주고싶다.	나도 잘 먹고 있고, 나도 배고픈 사람들을 도와주고 싶다.
그 녀자는 우리들가운데서 우월성을 가지고있지만 의심할 여지가 없고 경험이 부족하다는것은 조금도 념려할 필요가 없다.	그녀만이 우리 중에서 우월하게 보이는 기술을 가지고 있지만, 의심이 없고 경험이 부족한 것에 대해서는 존 박사가 걱정할 필요가 없다.
하지만 미스 빙클리가 기대하는 미래의 행복시대가 지금보다 몇배나 빨리 오기를 바라지 않을수 없소.	하지만 미스 빙클리가 기대하는 미래의 행복한 시기가 그녀가 생각하는 것보다 더 빨리 도착할 수 있기를 바라지 않을 수 있을까요?
그레브부두 맞은편에서 총을 쏘는 젊은 사나이들이 몇몇 녀성의 집에 모여앉아있었다.	그레브 부두 맞은편에서 총을 든 젊은 남자들이 사격을 목적으로 몇몇 여성의 집에 자리를 잡았다.
당신은 지금 내가 말하듯이 지금은 당신이 아니요. 아리엘처럼 천사에 가까운, 칼리반처럼 잔인하기 그지없는 무기력한 녀자요. 이것은 인간의 언변으로 말하면 내가 말하는것보다는 훨씬 더 깊은 뇌졸중인것 같소.	당신은 여전히 지금의 당신이지만, 동시에 더 이상 당신이 아니며, 아리엘처럼 천사에 가까운 당신은 칼리반처럼 잔인함에 가까운 무기력한 덩어리에 불과하고, 이것은 인간의 언어로 말하자면, 내가 말하는 것처럼, 더도 덜도 아닌 뇌졸중이라고 불린다.
그 늙은이는 평생 정직하게 살았으며 아버지에게는 70마리 푸들만큼이나 충실했다.	그 노인은 평생 정직했으며, 아버지에게는 칠백 마리 푸들만큼이나 충실했다.
나는 언제나 너에게 친절할뿐아니라 앞으로도 그럴것이다.	나는 항상 너에게 친절할 것이고, 앞으로도 그럴 것이다.
그때 런던으로 가는것이 무슨 소용이 있겠는가?	그 시기에 런던에 가는 것이 무슨 소용이 있었을까?
당신은 옳은 일을 하였지만 그것은 불신앙때문이 아니였소. 우리는 모두 종교가 아니요.	당신은 옳은 일을 했지만, 그것은 불신앙 때문이 아니었으니, 우리는 모두 종교적이기 때문이다.
부관은 이러한 사정을 전혀 모르고있었으나 병사들이 외투를 입고 행진준비를 갖추어야 한다는것을 명령하였고 그렇지 않으면 총사령관이 불만을 품게 될것이라고 말하였다.	부관은 이러한 상황을 알지 못했지만, 그럼에도 불구하고 병사들이 대외투를 입고 행진 준비를 갖추어야 한다는 명확한 명령을 전달하였고, 그렇지 않으면 총사령관이 불만을 가질 것이라고 전했다.
내가 뭐라고 말하든간에 나는 그 녀자가 자기자신을 자기자신으로 여기지 않는다는것을 확신할수 없었기때문에 일어나서 그것을 숄로 덮었다.	내가 뭐라고 말하든지 간에, 나는 그녀가 그것이 자신의 것이라고 이해하게 할 수 없었으므로, 나는 일어나서 그것을 숄로 덮었다.
읽기 어렵니?	읽기 어렵니?
딘부인은 초불을 집어들었다. 그제야 나는 높은 산에 올라앉은 처녀처럼 부드러운 그 녀자의 얼굴을 알아보았다. 그 녀자는 사색에 잠겨있었다.	딘 부인은 촛불을 들어올렸고, 나는 높은 곳의 젊은 숙녀와 매우 닮은 부드러운 얼굴을 알아보았지만, 그 표정은 더 사색적이고 친절했다.
그제야 그 녀자는 그의 얼굴을 똑똑히 보았고 그가 쾌활하고 즐거운 표정을 하고있는것을 보자 미소를 지었다.	그 순간 그녀는 그의 얼굴을 뚜렷하게 보았고, 그가 차분하고 행복한 모습을 보자 그녀는 그에게 미소를 지었다.
방안에는 침실이 세개 있었는데 그 수효를 생각하면 우리가 얼마나 웃었는지 알수 있지?	거실이 세 개 있었는데, 침실 세 개와 비교했을 때 그 숫자에 우리가 얼마나 웃었는지 기억나지 않니?
시작은 모든것 가운데서 가장 위대한것이였다.	그리고 시작은 모든 것 중에서 가장 위대한 것이다.
마틸드는 더는 개들이 마음대로 짖을수 있도록 개들이 마음대로 짖어댈수 없는 인간이 아니였다.	그녀는 더 이상 개들이 마음대로 짖어댈 수 있는 작은 떠돌이가 아니었다.
불이 꺼지자 검은 연기들이 지붕밑에서 굴러떨어졌다.	불이 잠시 꺼졌다가 검은 연기들이 지붕 아래에서 굴러 나왔다.
나는 나의 령혼 없이는 살수 없다.	나는 내 영혼 없이는 살 수 없다!
질문의 답이 그의 이름에 적혀있다면 그의 국적도 그에 포함되여있을것이다.	만약 질문의 답이 그의 이름에 포함되어 있다면, 그의 국적도 그 답에 포함될 것이라는 사실이.
그러나 이 작자들은 배고픔을 잊어야 해. 불쌍한것들아!	하지만 그들은 배고픔을 잊어야 해, 가엾은 작은 것들아!
적당한 도장이 없는것은 아니였다.	그것은 적절한 도장이 전혀 없었다.
너는 그 녀자의 옹호자로 되여있어.	너는 그녀의 옹호자가 되고 있어.
전쟁과 법의 조건을 제외하면 이 두 사나이사이에 새로이 싹트기 시작한 사랑의 싹은 싹텄다.	전쟁과 법의 조건을 제외하고, 그 두 남자 사이에 확립된 인간 관계를 형성한 것은 그들의 모습이었다.
그들가운데서 아무것도 알아내지 못한 페티야는 자기자신과 돌로코프에 대해서조차 의심쩍게 여기고있다고 생각했다.	그들 중 누구도 아무것도 알지 못했고, 페티야는 장교들이 자신과 돌로코프를 적대감과 의심의 눈초리로 바라보기 시작하고 있다고 생각했다.
그는 나를 한번도 보지 못했다.	그녀는 나를 결코 보지 못했다.
당신은 정말 돈많은분인것 같은데 그처럼 많은 돈을 헛되이 소비하다니!	당신은 정말 부유한 사람이군요, 그렇게 돈을 낭비하다니.
그런데 내가 무엇을 보았다고 말해야 할것인가?	하지만 내가 뭔가를 봤다고 말하지 말아야 할 이유가 무엇인가?
사촌의 말을 듣지 못하는 어린 학생들은 다만 악기를 바라거나 난로앞에 놓인 자기의 무관심한 모조품을 살펴보는것밖에 시간이 넉넉하지 않았다.	사촌의 말을 들을 수 없는 소녀들에게는 악기를 바라며 벽난로 위에 놓인 자기의 무관심한 모조품을 살펴보는 것 외에는 할 일이 없었기에, 기다리는 시간은 매우 길게 느껴졌다.
팔꿈치 굽히기가 바쁘게 그는 뒤에 숨기고있던 커다란 지팽이같은 그 무거운 머리칼을 어깨너머로 내려다보았다.	그의 팔꿈치 굽힘 부분에는 그가 뒤에 숨기고 있던 거대한 지팡이의 무거운 머리가 보였다.
그는 그것의 압도적인 우월성을 인정하면서도 그것의 사소한 점은 인정하면서도 그것에 침을 뱉는것보다 더 좋은 일은 없다고 말하였다.	그는 그것의 압도적인 거대함을 인정하지만, 그것의 사소함을 확립하며, 단순히 그것에 침을 뱉는 것 이상을 행한다.
하고 다이아몬드씨가 물었다.	다이아몬드가 물었다.
그는 정중하게 그리고 위엄있게 의사에게 말을 건늬였다.	공손하게, 그리고 위엄 있는 태도로 그는 의사를 멈추게 했다.
이윽고 그는 의식을 회복하여 침대곁 의자에 비틀거리며 몸을 기대고 베개우에 얼굴을 파묻었다.	그 소녀는 점차 의식을 되찾았고, 침대 곁의 의자에 비틀거리며 다가가 베개에 얼굴을 묻었다.
그에게서 가장 주목할만한것은 그의 귀와 아래입술에 장식적으로 씌워져있는 커다란 나무쪼각들이였다.	그에 대해 가장 주목할 만한 점은 그의 귀와 아랫입술에 장식처럼 박혀 있는 거대한 나무 조각들이었다.
나는 최선을 다해서 제출하였으며 다행히도 오래 기다릴 필요는 없었다.	나는 최선을 다해 우아하게 제출했으며, 다행히도 오래 기다릴 필요는 없었다.
우리는 당신의 저녁식사와는 아무런 관계도 없소. 마담.	우리는 당신의 저녁과는 아무 상관이 없습니다, 마담.
아, 그래, 제인이 건강을 회복하는 날까지 기다리는편이 오히려 나을지도 모르지. 그때에는 카터대위가 메리톤으로 다시 돌아올지도 모르니까.	아, 맞아, 제인이 건강해질 때까지 기다리는 것이 훨씬 나을 것이고, 그때쯤이면 카터 대위가 다시 메리턴에 있을 가능성이 높다.
쥴리앙의 이러한 태도는 본능적인것이라기보다 인간이라는 매개물을 통해서 그의 마음속에 스며들기 시작한 일종의 확고한 확신에 기초하고있었다.	그의 보편적인 부드러움은 본능적인 성향이라기보다는 삶이라는 매개체를 통해 그의 마음에 스며들어 천천히 생각 하나하나씩 쌓인 거대한 확신의 결과였다.
저녁때가 되여야 그런 말은 하지 않을테니까.	너의 저녁 시간이야, 더 이상 그런 말은 하지 않을 거야.
그 녀자는 먹지도 자지도 못하고 말라버렸으며 기침을 하면서 의사들이 시키는대로 하였다.	그녀는 먹지도 자지도 못하고 눈에 띄게 더 말라갔으며, 기침을 하고, 의사들이 느끼게 한 대로 위험에 처해 있었다.
몽씨외의 오메가 소리쳤다.	몽시외 오메가 외쳤다.
쥴리앙은 반마일이나 달리다가 고양이가 기다리고있는것을 발견했다. 고양이는 시간을 헛되이 보내는 일이 없도록 얼굴을 씻고있었다.	그가 반 마일을 달렸을 때, 그는 고양이가 그를 기다리고 있는 것을 발견했으며, 고양이는 시간을 낭비하지 않기 위해 앉아 얼굴을 씻고 있었다.
백작은 똑똑히 대답했다.	백작은 정확하게 말했다.
그는 떨리는 손을 내밀어 자메토프에게 지페 한장을 쥐여주었다.	그는 떨리는 손을 내밀어 자메토프에게 지폐를 건넸다.
나는 그를 바스빌로 데리고 가서 그곳의 가난하고 음침한곳을 찾아갔다. 거기에서 나는 그가 의사도 아니고 인도주의자라는것을 알게 되였다.	나는 그를 바스빌, 즉 도시의 가난하고 혼잡한 지역으로 동행하면서 그의 그곳에서의 심부름이 의사로서의 것이기도 하지만 인도주의자로서의 것이라는 것을 발견했다.
활기찬 쏘피는 결단성있게 종을 밀치면서 말하였다.	더 활기찬 소피가 결단력 있게 종을 당기며 말했다.
그 빛은 수수께끼같은 그의 눈에서 반짝였다.	그 빛은 그녀의 절묘하고 진정으로 수수께끼 같은 눈에서 빛났다.
그가 흥분하고있었기때문에 그만두어야 할 때가 되였다.	그리고 그가 흥분하고 있었기 때문에 멈출 때가 되었다.
다시는 거기 가지 않을것이라는 예감이 들자 나는 죽어가는 사람의 그림자를 마지막으로 바라보기에 안성맞춤이라는 생각이 들었다.	나는 다시는 그곳에 가지 않을 것이라는 예감이 들었고, 죽어가는 빛이 그것을 마지막으로 바라보기에 적합하다는 느낌이 들었다.
너는 나보다 훨씬 나이가 많아.	너는 나보다 훨씬 더 나이가 많지 않아.
그러나 그에게는 좋은 성질이 있었던것 같다.	하지만 그녀에게는 좋은 성격이 있었던 것 같다.
당신은 그의 돈으로 살아왔소.	당신은 그가 준 돈으로 살아왔습니다.
그러나 가엾은 까스따네스따네스! 이건 낮과 같소!	하지만, 가엾은 카티체야, 이건 낮처럼 분명해!
이전에는 이런 감정을 얼굴표정에서 나타내지 않았으나 이때만은 그의 마음속에 그러한 감정이 깃들어있다는것만은 의심할 여지가 없었다.	그가 이전에는 이 마음 상태를 표정으로도 드러내지 않았지만, 그것이 그의 습관적인 기분이라는 것은 의심의 여지가 없었다.
그 녀자는 내가 그 녀자를 여기에 데리고 오지 않는다는것을 알고있을것이다. 그렇지 않으면 나는 그 녀자가 사물을 다른 시각으로 보는 사람을 만나지 못하게 해야 할것이다.	그녀는 내가 그녀를 여기 초대할 수 없다는 것을 이해할 것이고, 그렇지 않으면 그녀가 사물을 다르게 바라보는 사람들을 만나지 않도록 그렇게 해야 할 것이다.
나는 적절한 순간에 여기에 있게 되여 기뻤소. 가스씨 하고 프레드로는 말하였다.	나는 적절한 순간에 여기 있게 되어 기쁩니다, 가스 씨, 프레드가 말했다.
나는 털리버가 성급하고 이상한 말을 하고있다는것을 알고있다.	나는 털리버가 성급하고 이상한 말을 한다는 것을 알고 있다.
마차안에서요.	마차 안에서.
그들의 의견은 서로 충돌하였으며 사실 그 녀자는 그가 자기의 의견을 자기에게 소중히 여겼다는것은 결코 인정하지 않았다.	그들의 의견은 충돌했으며, 사실 그녀는 그가 그녀의 의견을 개인으로서 자신에게 소중하게 여겼다는 것을 결코 인식하지 못했다.
로씨야의 유산과 나타샤의 어린 시절에 대한 그의 애정때문에 쥴리앙은 불쾌한 감정을 느꼈다. 그는 로씨야를 떠난 그날부터 로씨야를 한번도 찾아본적이 없었다.	로스토프 가문의 기억과 나타샤에 대한 그의 어린 시절 사랑은 그에게 불쾌한 감정을 주었고, 그는 군대에 가기 위해 떠난 날 이후로 로스토프 가문을 한 번도 방문한 적이 없었다.
그들은 곧 델라포드에 들리게 될것이라고 마틸드는 생각했다.	그들은 곧 델라포드에 정착할 것이라고 그녀는 생각했다.
아, 미스터 라일리가 부드러운 관심을 나타내면서 말하였다.	아! 미스터 라일리가 부드러운 관심을 담아 말했다.
그의 희망에 단 하나의 실머리를 줄수 있을지도 모른다.	그의 소망에 대한 단서를 제공할 무언가가 있을지도 모른다.
그 전당포는 열세달이 지난 다음 플로라접시를 팔았다.	그 전당포는 열세 달이 지난 후 그의 플로라 접시를 팔았다.
마가렛 헤일은 그에게 아무것도 아니라고 말할 소녀가 아니였다.	마가렛 헤일은 그에게 아니라고 말할 소녀가 아니다.
쥴리앙은 인간생활의 크고작은 고통에 대해서 사과하는듯싶었다.	인간 삶의 작은 고통들, 그는 공주에게 사과하는 듯이 말했다.
나는 가서 그애에게 물어보겠지.	나는 가서 그녀에게 물어볼 거야, 아이가 말했다.
그는 동생을 아래우로 내려다보았다.	그는 동료를 위아래로 살펴보았다.
남자는 작은 나무쟁반을 하나 가지고있었고 그뒤에 서있던 다른 한 녀자가 그 쟁반에 정제된 카스칼을 가득 부어넣었다.	각 남자는 작은 나무 쟁반을 하나씩 가지고 있었고, 그 뒤에 서 있는 다른 노예가 그 쟁반에 정제된 카스칼류를 한 삽 가득 담았다.
그리고 지금 도망치거든 곧 쫓아버리겠지.	그리고 지금 도망치면, 그들이 곧 너를 쫓아올 거야.
그런 실용적인 능력이 어디 있담!	그런 실용적인 능력!
그는 돌아왔다.	그녀는 돌아왔다.
그때에는 더는 돌아오지 않을것이다.	그 경우 그는 더 이상 돌아오지 않을 것이다.
주소를 영어로 번역하면 다음과 같이 씌여있었다.	주소를 영어로 번역하면 매우 긴급하다고 적혀 있었다.
나는 오늘밤 그 어떤 새로운 침해도 참을수 없었기때문에 그의 롱담을 받아들이기보다 존 박사의 코트밑자락에 얼굴을 묻었다.	나는 오늘 밤 어떤 새로운 침해도 허용할 기분이 아니었고, 그의 농담을 받아들이기보다는 그의 존재를 무시하기로 하고, 따라서 존 박사의 코트 소매를 향해 얼굴을 고정했다.
오래 된 페지를 침범하지 말아라.	절대 오래된 페이긴을 침범하지 마라!
그들은브라질에서 성서를 읽고싶어하는것이다.	그들은 브라질에서 성경을 원한다.
네가 그런 걱정을 하고있는게 틀림없어!	너가 그것에 대해 걱정하는 게 궁금해!
나는 시계가 네시를 치고있다고 대답하였다.	네 시가 치고 있다, 내가 대답했다.
나는 이 불행한 처지에서 그 녀자가 어떤 무서운 일을 저질렀다는것을 언제까지나 똑똑히 들을수 있으리라고 믿고있다.	나는 그녀가 그런 불쌍한 장소들 속에서 끔찍한 일을 겪었다는 소식을 항상 듣게 될 것이라고 확신한다.
그들이 이야기를 마치고 안도한듯이 일어섰을 때 의자가 끌리는 소리와 함께 두사람이 팔짱을 끼고 서로 이야기를 나누며 앞뒤로 분주히 돌아갔다.	그들이 상담을 마친 신사들이 안도한 듯 일어설 때 의자들이 끌리는 소리를 냈고, 그들은 팔짱을 끼고 다리를 펴고 두 사람씩 대화를 나누며 앞뒤로 걸어가기 시작했다.
하지만 내가 당신을 괴롭히기때문에 천번이라도 용서를 빌어야 할텐데.	하지만, 당신에게 고통을 주기 때문에, 나는 천 번의 용서를 구해야 합니다!
농민은 루블을 받기로 하고 그 사나이를 거들떠보지도 않았다.	농부는 거위에 대해 루블을 받기로 하고, 그 남자는 거위를 가지기로 했다.
그 녀자를 믿지 말아라.	그녀를 믿지 마라.
그 녀자는 이야기를 과거로 끌어당기며 그 사건, 장면, 인물 등을 아주 그럴듯하게 묘사하는것 같았다.	그녀는 대화를 과거로 이끌어가며 그 사건, 장면, 인물들을 독특하게 생생하게 떠올리는 듯했다.
그것은 피할수 없는것이다.	그것은 이길 수 없는 카드이다.
그의 입에서는 일종의 미소가 새여나왔고 엘리자베스는 그 미소를 리해할수 있을것만 같았다.	그가 말할 때 일종의 미소가 있었고, 엘리자베스는 그 미소를 이해할 수 있을 것 같았다;
무덤너머에 과연 생명이 있다면 그리고 그 생명이 죽기전에 심판이 있다면 나는 그것을 어떻게 대할것인가?	무덤 너머에 정말로 삶이 있고, 죽음 이후에 심판이 있다면, 나는 그것을 어떻게 마주할 수 있을까?
그러지 않으리라고 생각하시는가요?	그들이 그러지 않을 것이라고 생각하나요?
그들은 엠마의 죽음을 애도하였으며 특히 류랑의 장례식에 빠짐없이 참석하였던 류랑의 경우에는 더욱 그랬다.	그들은 엠마의 죽음을 애도하고 있었고, 특히 장례식에 빠지지 않고 참석한 류르가 그랬다.
마틸드는 옆에 앉아있던 한 녀자에게로 돌아섰다.	여기서 마움지 부인은 옆에 앉아 있는 친한 여성 친구에게 돌아섰다.
다음열페지나 열두페지는 호기심을 자아내는 기록으로 가득차있었다.	다음 열 페이지 또는 열두 페이지는 호기심을 자아내는 일련의 기록으로 가득 차 있었다.
그동안 나는 끊임없이 얻어맞았고 얻어맞았으며 질식당하고말았다.	나는 그동안 계속해서 던져지고, 맞고, 질식당하고, 그리고 통째로 삼켜졌다.
그래서 존경을 받고있는 밀러는 바셋의 좁은 길을 따라 이전보다 더 혼란에 빠지기는 하였으나 여전히 위험을 피하였다는것만은 알고있었다.	그래서 존경받는 밀러는 바셋의 좁은 길을 따라 이전보다 더 혼란스러운 마음으로 돌아왔지만, 여전히 위험을 피했다는 느낌을 가지고 있었다.
그들에게 그 돈으로 무엇을 하는가고 물어보라.	그들에게 그들의 돈으로 무엇을 하는지 물어보라고 해.
시간이 지난 다음에야 나는 그 문장의 나머지부분을 알아들을수 있었다.	그리고 시간이 지나면—나는 그 문장의 나머지를 듣지 못했다.
부인은 이미 그 괴로운 얼굴을 보았던것이다.	그녀는 이미 괴로운 얼굴을 보았다.
1년이라는 세월이 지난것만 같다.	나는 이것이 마치 일년 동안 지속된 것처럼 쓰여졌다는 것을 느낀다.
악당!	악당!
그 모든것들가운데서 가장 나쁜것은 그 녀자가 이미 그렇게 되였던것이다.	그리고 그 모든 것 중에서 가장 최악인 것은 그녀가 이미 그렇게 되어버렸다는 것이다.
너는 내가 무엇을 하고싶어하는가?	너는 내가 뭘 하기를 원하니?
알료샤는 한구석에 앉아 겁에 질려 떨면서 쏘냐에게 자기가 어떻게 속았는가고 물었다.	알료샤는 구석에 앉아 두려움에 떨며 소냐에게 자신이 어떻게 속았는지 이야기했다.
그날저녁 공원에는 승려들이 붐비고있었다.	그날 밤 공원에는 사제들이 무리 지어 있었다.
그는 이 목적을 가지고 적군을 맞아 싸우려고 하였다. 적군의 상태가 좋을수록 총사령관은 더욱 기뻐할것이다.	그는 이 목적을 가지고 연대를 만나려 했으므로, 연대의 상태가 나쁠수록 총사령관은 더욱 기뻐할 것이다.
그럼 뭐라구?	그럼, 뭐라고 말할래?
교수님. 늦어지는것이 걱정되여 그러오?	늦어지는 것 같아 걱정입니다, 교수님?
나는 이제 더는 정치적논리도 없고 모든 사람이 부유해지고 즐거워하기를 바라면서 다만 즐거움만을 바라고있을따름이요.	내가 생각하기에 나는 더 이상 정치적 의견이 없으며, 모든 사람들이 부유해지기를 바라며, 즉 즐거워지기를 바라며, 나는 그에만 국한한다.
내가 깨여났을 때는 이미 밤이 깊었으며 까피가 옆에 앉아 나를 바라보고있었다.	내가 깨어났을 때는 이미 낮이 밝았고, 카피가 내 옆에 앉아 나를 바라보고 있었다.
집으로 가는 길 중간에서 니콜라스는 마부에게 고삐를 쥐여주고 나탸샤의 썰매로 달려가 그 날개우에 섰다.	집으로 가는 길의 중간쯤에서 니콜라스는 마부에게 고삐를 건네주고 잠시 나탸샤의 썰매로 달려가 그 날개 위에 섰다.
이 구르는 땅우에서 나와 함께 가만히 누워있자.	이 구르는 지구 위에서 나와 함께 가만히 누워 있자.
그리고는 덜시머에게 노래를 부르기 시작했다.	그리고 덜시머에게 노래를 부르기 시작했다.
딸랑이를 힘껏 잡아당겨라.	딸랑이를 세게 당겨라.
오빠, 마들렌 마글루아르가 뭐라고 하던가요?	오빠, 마들렌 마글루아르가 뭐라고 하는지 들었어요?
그러나 한가지 위안은 이 모든것이 어린 아서에게 전가된것이였기때문에 더는 그의 어머니의것으로 될수 없었다.	그러나 한 가지 위안이 있었으니, 이 모든 것은 어린 아서에게 전가된 것이며, 어떤 상황에서도 엄밀히 말하자면 그의 어머니의 것이 될 수 없었다.
로자네트는 그 녀자에 대한 그의 찬사가 매우 아름답다고 생각했다.	로자네트는 그가 그녀에게 한 칭찬이 매우 예쁘다고 생각했다.
그는 이 모든것을 느꼈다. 그들의 마지막담에서 나온 모든 말과 시선이 생생히 떠올랐고 그들이 품고있던 질투와 증오가, 강한 감정과 강한 감정이 서로 밀접히 결부되여있다는것을 알게 되자 그는 매기의 눈길과 태도를 보고 무슨 변화가 생겼다는것을 알아차리는것 같았다.	그는 이것을 매우 강하게 느꼈고, 그들의 마지막 대화에서 오간 모든 말과 시선이 생생하게 떠올랐으며, 그러한 질투와 불신이 내성적인 성격과 강한 감정과 거의 불가분의 관계에 있다는 것을 알기에, 그는 매기의 시선과 태도에서 변화의 증거를 읽어낸 것 같았다.
안드레이왕자가 네스비쯔키와 제르꼬프를 만났을 때 마침 복도 반대편에서 로씨야군대의 보수를 담당하고있는 오스트리아장교 스따따조브와 전날저녁에 도착한 호프크리그라트의 일원이 다가왔다.	안드레이 왕자가 네스비츠키와 제르코프를 만났을 때, 복도 반대편에서 러시아 군대의 보급을 담당하고 있는 쿠투조프의 참모인 오스트리아 장군 스트라우흐와 전날 저녁에 도착한 호프크리그라트의 일원이 그들에게 다가왔다.
그 녀자는 세개의 날카로운 음성을 내고 다시 내려와서 더 높은 음성을 냈다. 그리고는 잠시 침묵을 지키더니 다시금 오르간소리를 내였다.	그녀는 세 개의 날카로운 음을 내고 다시 내려와서 더 높은 음 하나를 내었으며, 잠시 침묵한 후 오르간 포인트로 마무리했다.
무분별하고 힘센 식물들은 이 순진한 사나이들의 주위에서 힘과 취기에 싸여 떨고있었다. 그들은 나무들을 설레이게 하는 사랑의 말을 입밖에 내여 중얼거렸다.	무분별하고 힘찬 식물들이 이 두 순진한 사람 주위에서 힘과 취기에 가득 차서 떨고 있었고, 그들은 나무들을 떨게 하는 사랑의 말을 내뱉었다.
그들은 분주하게 층계를 올라갔다.	그들은 빠르고 조용하게 계단을 올라갔다.
모든것이 합법적인가?	모든 것이 합법적이라는 말인가?
그는 이 모험이 자신을 너무 멀리 끌어들인것 같다고 생각했다.	게다가 그는 그런 모험이 자신을 너무 멀리 데려갔을지도 모른다고 생각했다.
이제는 커디!	이제, 커디!
그는 당신에게서 멀리 떨어져있을것이요.	그는 당신에게서 멀어졌을 것이다.
그는 이렇게 생물의 집안을 몹시 불편하게 만들었다. 그래서 생물이 밖으로 뛰쳐나오게 하고 적들이 기다리고있는것을 보고 머리와 꼬리를 함께 말아붙였다.	그는 그렇게 생물의 거주지를 매우 불편하게 만들어서 생물이 급히 밖으로 뛰쳐나오게 했고, 그 후 적들이 기다리고 있는 것을 보고 머리와 꼬리를 함께 말아붙여 거친 돌의 형상이 되었다.
이 몇순간동안 군중들은 그의 행동을 지켜보면서 그의 의도를 의심하고있었으나 그의 의도를 알아차리고 그가 패배한것을 알자 그제야 그들은 이전처럼 울부짖음소리와 저주를 섞어가며 저주를 퍼부었다.	그 군중은 이 몇 순간 동안 그의 행동을 지켜보며 그의 의도를 의심하며 조용해 있었지만, 그들이 그의 의도를 알아차리고 그것이 패배한 것을 알자마자, 그들은 이전의 모든 외침이 속삭임에 불과했던 것처럼 승리의 저주를 외쳤다.
당신은 윌 윌슨이 알리바이를 증명할수 있다고 생각하시는가요?	그리고 당신은 윌 윌슨이 알리바이를 증명하기를 원하나요, 맞나요?
남편은 질투가 많아서 오셀로같지만 우리는 그가 눈치채지 못하게 잘 살리려고 애쓸것이다.	내 남편은 질투가 많아서 오셀로와 같지만, 우리는 그가 아무것도 눈치채지 못할 만큼 잘 행동하려고 노력할 것이다.
가엾은 타격 기계나 당신의 로씨야식 프레스는 고장나겠지만 증기 프레스는 고장나지 않을거요.	가엾은 타격 기계나 당신의 러시아식 프레서는 고장 나겠지만, 내 증기 프레스는 고장 나지 않는다.
그는 어지간히 빨강과 푸른빛을 띠고있었다.	그는 괜찮고, 짙은 파란색과 빨간색이다.
우리 나라에서는 하루에 단 하루도 빠짐없이 이런 일이 있다고 그 녀자는 말하였다.	우리 나라에서는 하루에 단 하루만 있다고 그녀가 말했다.
그러나 그 반대편에 있는 필립은 두권의 책에 열중하고있었다. 그의 표정은 호기심을 자아냈다.	반면 방 반대편에 있는 필립은 두 권의 책에 몰두하며 만족스러운 열중의 표정을 짓고 있었고, 그 모습은 매기를 호기심으로 들뜨게 했다.
무엇때문일가?	무엇 때문에?
그는 일을 시작하였다.	그는 일을 시작했다.
다른 사람들은 지치고 배고프면서도 장교들에게 이끌리여 앞으로 나아갔다.	다른 군중들은 지치고 배고프며, 그들의 장교들에 의해 이끌리며 앞으로 나아갔다.
하고 버지니아부인은 되뇌였다.	버지니아 부인이 반복해서 말했다.
별로 좋은 소식은 없지만 그래도 나쁠수는 있다.	그다지 좋은 소식은 없지만, 그럼에도 더 나쁠 수도 있다.
하고 필립이 말하였다.	그래, 필립이 말했다.
바로 이 순간에 그는 얼마나 아름다운 얼굴을 하고있었던가!	그가 바로 이 순간 얼마나 잘 생겼는지!
그는 리치에 맞는 이야기를 하였지만 나는 바보야.	그는 이치에 맞는 이야기를 했지만 나는 여전히 바보야!
모든것이 미쳤다.	모든 것이 미친 짓이었다.
삼촌이 말하였다.	삼촌이 말했다.
제가 프랑스말을 타고 이겼다면 전하께선 라브루시카가 뒤에 서있는 그 초라한 마차를 가리키면서 말하였다.	그리고 제가 프랑스 말을 타고 이겼을 텐데, 전하, 라브루시카가 뒤에서 그의 초라한 마차 말을 언급하며 말했다.
그러나 그럴수는 없다.	그러나 그럴 수는 없다.
무슨 상관이냐 하고 삐라르토가 물었다.	무슨 상관이냐, 몬테크리스토가 말했다.
모두 비명을 질렀다.	모든 아이들이 비명을 질렀다.
가벼운 발걸음으로 남편을 바라보면서 침착하고 동정어린 표정을 지은 키작은 병실로 들어갔다. 그리고는 서두르지 않고 조용히 문을 닫았다.	가볍게 발을 내딛으며 남편을 계속 바라보고 용감하고 동정 어린 표정을 지은 키티는 병실로 들어갔고, 서두르지 않고 조용히 문을 닫았다.
마틸드는 이것이 대서양일것이라고 확신하고있었으나 조사해본 결과 많은 달이 려행에 필요한것만은 아니라는것을 알게 되였다.	이것이 대서양임에 틀림없다고 마틴은 확신했는데, 조사해본 결과 많은 달의 여행이 필요하다는 것을 알게 되었다.
그 신사는 왜 해질무렵에만 찾아오십니까.	그 신사는 왜 해질 무렵에만 오는 걸까요?
